x_idx,y_idx,T,qx,qy
2,63,0.0103955,-0.000759004,6.01607e-05
2,64,0.00999625,-0.000729863,5.84738e-05
2,65,0.00960808,-0.00070153,5.68669e-05
2,66,0.00923047,-0.000673966,5.53361e-05
2,67,0.00886292,-0.000647136,5.38779e-05
2,68,0.00850494,-0.000621004,5.2489e-05
2,69,0.00815609,-0.000595538,5.11663e-05
2,70,0.00781593,-0.000570705,4.99072e-05
2,71,0.00748404,-0.000546476,4.87089e-05
2,72,0.00716002,-0.00052282,4.7569e-05
2,73,0.00684348,-0.00049971,4.64854e-05
2,74,0.00653405,-0.000477119,4.5456e-05
2,75,0.00623138,-0.00045502,4.44787e-05
2,76,0.00593511,-0.000433389,4.35519e-05
2,77,0.00564491,-0.000412201,4.26738e-05
2,78,0.00536047,-0.000391432,4.18429e-05
2,79,0.00508147,-0.00037106,4.10578e-05
2,80,0.0048076,-0.000351063,4.03171e-05
2,81,0.00453857,-0.00033142,3.96195e-05
2,82,0.00427409,-0.000312108,3.8964e-05
2,83,0.00401389,-0.000293108,3.83494e-05
2,84,0.00375769,-0.000274401,3.77749e-05
2,85,0.00350523,-0.000255965,3.72393e-05
2,86,0.00325624,-0.000237784,3.6742e-05
2,87,0.00301048,-0.000219837,3.62822e-05
2,88,0.00276768,-0.000202109,3.58591e-05
2,89,0.00252761,-0.000184576,3.54721e-05
2,90,0.00229003,-0.000167232,3.51207e-05
2,91,0.00205469,-0.000150037,3.48042e-05
2,92,0.00182137,-0.000133018,3.45224e-05
2,93,0.00158983,-0.000116074,3.42744e-05
2,94,0.00135984,-9.93458e-05,3.40607e-05
2,95,0.00113119,-8.2525e-05,3.38795e-05
2,96,0.000903632,-6.61371e-05,3.37331e-05
2,97,0.000676963,-4.91578e-05,3.36171e-05
2,98,0.000450945,-3.34466e-05,3.35381e-05
2,99,0.000225381,-1.54985e-05,3.34845e-05
2,100,0,-1.54985e-05,3.34845e-05
3,0,1,-0.00886283,0.0256013
3,1,0.798292,-0.00886283,0.0256013
3,2,0.624023,-0.0155492,0.0191439
3,3,0.49744,-0.0174488,0.0137699
3,4,0.410615,-0.0151968,0.0111123
3,5,0.343422,-0.0140618,0.00822346
3,6,0.293907,-0.0123565,0.00620255
3,7,0.256018,-0.0112565,0.00486002
3,8,0.226169,-0.0100951,0.00385534
3,9,0.202209,-0.00921674,0.00313808
3,10,0.182553,-0.00840021,0.00259644
3,11,0.166161,-0.00772878,0.00218363
3,12,0.152284,-0.00712753,0.00186118
3,13,0.140388,-0.00661134,0.00160543
3,14,0.130074,-0.0061514,0.00139921
3,15,0.121045,-0.00574644,0.00123072
3,16,0.113071,-0.00538356,0.00109133
3,17,0.105975,-0.00505871,0.000974751
3,18,0.0996174,-0.0047651,0.000876286
3,19,0.0938853,-0.00449905,0.000792378
3,20,0.0886886,-0.00425649,0.000720293
3,21,0.0839535,-0.00403458,0.000657908
3,22,0.0796192,-0.00383065,0.000603552
3,23,0.0756352,-0.00364261,0.000555897
3,24,0.0719591,-0.0034686,0.000513878
3,25,0.0685553,-0.00330707,0.000476631
3,26,0.0653934,-0.00315669,0.000443454
3,27,0.0624474,-0.00301631,0.000413764
3,28,0.059695,-0.00288493,0.000387084
3,29,0.057117,-0.00276168,0.000363011
3,30,0.0546966,-0.0026458,0.000341211
3,31,0.0524192,-0.00253663,0.000321399
3,32,0.0502719,-0.00243358,0.000303334
3,33,0.0482434,-0.00233613,0.000286813
3,34,0.0463238,-0.00224383,0.000271658
3,35,0.0445042,-0.00215626,0.000257718
3,36,0.0427766,-0.00207306,0.000244863
3,37,0.041134,-0.0019939,0.00023298
3,38,0.0395702,-0.00191848,0.000221969
3,39,0.0380793,-0.00184654,0.000211743
3,40,0.0366562,-0.00177784,0.000202229
3,41,0.0352964,-0.00171215,0.000193357
3,42,0.0339955,-0.00164929,0.000185071
3,43,0.0327498,-0.00158906,0.000177318
3,44,0.0315556,-0.00153131,0.000170051
3,45,0.0304099,-0.00147588,0.000163231
3,46,0.0293097,-0.00142263,0.000156819
3,47,0.0282522,-0.00137143,0.000150783
3,48,0.0272351,-0.00132218,0.000145094
3,49,0.0262559,-0.00127475,0.000139726
3,50,0.0253127,-0.00122905,0.000134655
3,51,0.0244033,-0.00118498,0.000129859
3,52,0.0235261,-0.00114246,0.000125319
3,53,0.0226792,-0.0011014,0.000121018
3,54,0.0218612,-0.00106174,0.000116939
3,55,0.0210704,-0.00102339,0.000113069
3,56,0.0203056,-0.00098629,0.000109393
3,57,0.0195655,-0.000950384,0.0001059
3,58,0.0188488,-0.000915609,0.00010258
3,59,0.0181543,-0.00088191,9.94215e-05
3,60,0.017481,-0.000849236,9.64159e-05
3,61,0.0168279,-0.000817537,9.35548e-05
3,62,0.0161941,-0.000786767,9.08304e-05
3,63,0.0155784,-0.000756881,8.82355e-05
3,64,0.0149802,-0.000727839,8.57637e-05
3,65,0.0143986,-0.000699599,8.34088e-05
3,66,0.0138329,-0.000672125,8.11654e-05
3,67,0.0132821,-0.000645381,7.90281e-05
3,68,0.0127457,-0.000619331,7.69924e-05
3,69,0.012223,-0.000593943,7.50537e-05
3,70,0.0117133,-0.000569186,7.32079e-05
3,71,0.011216,-0.000545029,7.14513e-05
3,72,0.0107304,-0.000521443,6.97803e-05
3,73,0.0102561,-0.0004984,6.81917e-05
3,74,0.00979239,-0.000475873,6.66824e-05
3,75,0.00933881,-0.000453837,6.52496e-05
3,76,0.00889483,-0.000432267,6.38907e-05
3,77,0.00845995,-0.000411137,6.26032e-05
3,78,0.00803369,-0.000390426,6.13849e-05
